,ProQuest ID,Title,Source,Subject,Leaning,Hero,Villain,Victim,Focus,Conflict,Story,Narrative,Link
0,2908168295,Our fear of global warming is a panic full of hot air,The Advertiser,Global warming; Climate change,right,NONE,SCIENCE_EXPERTS_SCI.REPORTS,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,https://www.proquest.com/newspapers/our-fear-global-warming-is-panic-full-hot-air/docview/2908168295/se-2?accountid=12372
1,2912413784,Offshore wind setback no threat to 2030 aim: Bowen:   Renewables,The Australian Financial Review,Environmental protection; Alternative energy; Offshore; Community support; Climate change; Renewable resources,right center,GREEN_TECHNOLOGY_INNOVATION,INDUSTRY_EMISSIONS,NONE,HERO,FUEL_RESOLUTION,EGALITARIAN,TECHNOLOGICAL_OPTIMISM,https://www.proquest.com/newspapers/offshore-wind-setback-no-threat-2030-aim-bowen/docview/2912413784/se-2?accountid=12372
2,2912679790,Who pays the piper in accountability?,Glen Innes Examiner,Fossil fuels; Politics; Employment,left center,NONE,INDUSTRY_EMISSIONS,CLIMATE_CHANGE,VILLAIN,PREVENT_CONFLICT,HIERARCHICAL,12_YEARS,https://www.proquest.com/newspapers/who-pays-piper-accountability/docview/2912679790/se-2?accountid=12372
3,2913515517,Green ute no beaut,The Daily Telegraph,Greenhouse gases; Emission standards; Emissions; Farms; Christmas; Vehicles; Automobile dealers,right,NONE,LEGISLATION_POLICIES_RESPONSES,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,CLIMATE_SOLUTIONS_WONT_WORK,https://www.proquest.com/newspapers/green-ute-no-beaut/docview/2913515517/se-2?accountid=12372
4,2918251817,New Metro electric buses rolled out in Launceston as trial starts,The Examiner,Hydrogen; Emissions; Climate change,right center,GOVERNMENTS_POLITICIANS_POLIT.ORGS,INDUSTRY_EMISSIONS,NONE,HERO,FUEL_RESOLUTION,HIERARCHICAL,OFFICIALS_DECLARE_EMERGENCY,https://www.proquest.com/newspapers/new-metro-electric-buses-rolled-out-launceston-as/docview/2918251817/se-2?accountid=12372
5,2918558327,Hometown disaster and my faith spurs fight for action,Newcastle Herald,Workers; Oil spills; Fossil fuels; Emissions; Climate change; Coal,left center,ENV.ORGS_ACTIVISTS,INDUSTRY_EMISSIONS,GENERAL_PUBLIC,HERO,FUEL_RESOLUTION,EGALITARIAN,YOURE_DESTROYING_OUR_FUTURE,https://www.proquest.com/newspapers/hometown-disaster-my-faith-spurs-fight-action/docview/2918558327/se-2?accountid=12372
6,2921157207,Environment protection and community consultation key to offshore wind success,Newcastle Herald,Environmental conditions; Environmental protection; Offshore; Climate change; Wildlife conservation,left center,GREEN_TECHNOLOGY_INNOVATION,CLIMATE_CHANGE,NONE,HERO,FUEL_RESOLUTION,EGALITARIAN,TECHNOLOGICAL_OPTIMISM,https://www.proquest.com/newspapers/environment-protection-community-consultation-key/docview/2921157207/se-2?accountid=12372
7,2921451053,Renewable energy cowboys take on rural communities,The Australian,Agriculture; Farmers; Landowners; Alternative energy; Electricity; Wind farms; Emissions; Renewable resources,right center,NONE,GREEN_TECHNOLOGY_INNOVATION,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,CLIMATE_SOLUTIONS_WONT_WORK,"Author: Packham, Colin"
8,2921790654,"Please, ute just can’t be serious",The Advertiser,Automobiles; Energy efficiency; Emissions; Vehicles,right,NONE,LEGISLATION_POLICIES_RESPONSES,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,CLIMATE_SOLUTIONS_WONT_WORK,https://www.proquest.com/newspapers/please-ute-just-can-t-be-serious/docview/2921790654/se-2?accountid=12372
9,2925704632,Reliable and affordable renewable energy is a ‘sham’,The Daily Telegraph,Agriculture; Food security; Alternative energy sources; Energy industry; Wind farms; Subsidies; Renewable resources,right,NONE,GREEN_TECHNOLOGY_INNOVATION,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,CLIMATE_SOLUTIONS_WONT_WORK,https://www.proquest.com/newspapers/reliable-affordable-renewable-energy-is-sham/docview/2925704632/se-2?accountid=12372
